placeID,latitude,longitude,price,Rcuisine,ave_rating
132560,23.752304100000003,-99.16691329999999,low,Regional,0.175
132572,22.141647100000004,-100.9927118,low,Cafeteria,0.7400000000000001
132583,18.922290399999998,-99.234332,low,American,0.8500000000000001
132584,23.752364800000002,-99.16528790000001,medium,Mexican,1.1333333333333335
132594,23.7521677,-99.16570899999999,low,Mexican,0.26
132608,23.7588052,-99.16512970000001,low,Mexican,0.8333333333333334
132609,23.760268300000003,-99.16586459999999,low,Fast_Food,0.2
132613,23.7529035,-99.165076,medium,Mexican,1.0666666666666667
132626,23.7375834,-99.1351318,medium,Italian,1.0
132630,23.752930499999998,-99.1644725,low,Mexican,0.6
132663,23.7525107,-99.1669536,low,Mexican,0.16666666666666666
132665,23.736797699999997,-99.1342413,low,Mexican,0.74
132667,23.7526973,-99.1633594,low,Armenian,1.0
132668,23.738212,-99.1519547,low,Mexican,1.0
132706,23.7292162,-99.1323571,medium,Mexican,0.5
132715,23.732422600000003,-99.15866020000001,low,Mexican,0.4
132717,23.7318602,-99.1504365,medium,Fast_Food,1.3333333333333333
132723,22.1489337,-101.01984499999999,medium,Mexican,1.2250000000000003
132732,23.754356899999998,-99.171288,low,Mexican,0.4
132733,23.752707100000002,-99.1625655,medium,Pizzeria,1.1
132740,23.7521965,-99.16663170000001,low,Mexican,0.4125
132754,22.1477379,-100.9906163,medium,Mexican,1.4230769230769231
132755,22.153323999999998,-101.0195459,medium,Mexican,2.02
132766,18.9101777,-99.2315438,medium,Japanese,0.2333333333333333
132767,18.8820871,-99.1630268,medium,Vietnamese,1.4666666666666668
132768,18.9257734,-99.2326355,medium,Family,1.7100000000000002
132773,18.869992899999996,-99.2103195,low,Family,1.05
132773,18.869992899999996,-99.2103195,low,Mexican,1.05
132825,22.1473922,-100.983092,low,Mexican,1.009375
132834,22.156469,-100.98554,low,Mexican,0.7239999999999999
132845,22.1262926,-100.90077640000001,medium,Mexican,0.32
132846,22.142273199999998,-100.94265370000001,low,International,1.4000000000000001
132851,22.136872,-100.9345736,low,American,0.6571428571428573
132851,22.136872,-100.9345736,low,Game,0.6571428571428573
132854,22.1378633,-100.9383273,medium,International,1.3333333333333333
132856,22.1513782,-100.97463370000001,low,Italian,0.7428571428571429
132858,22.1312917,-100.9371941,low,Burgers,0.2
132861,22.1480965,-101.0173023,medium,Burgers,1.1285714285714286
132862,22.150642899999998,-100.9870148,high,International,1.6
132866,22.141219800000002,-100.93131070000001,medium,Bakery,1.12
132866,22.141219800000002,-100.93131070000001,medium,Cafeteria,1.12
132869,22.1412384,-100.9239252,medium,Pizzeria,0.9500000000000001
132870,22.1430781,-100.9354788,low,Burgers,0.06
132872,22.173595499999998,-100.9946027,medium,American,0.6249999999999999
132875,22.1499013,-100.9937793,high,Japanese,1.0750000000000002
132885,22.1795169,-100.9584358,low,Cafeteria,0.12
132921,22.150305,-100.98913370000001,low,Bar,0.7
132922,22.1511348,-100.9823115,medium,Cafeteria,1.8333333333333333
132925,22.1534997,-100.97624300000001,medium,Mexican,0.8800000000000001
132937,22.1500193,-100.9799203,low,Bar,0.47500000000000003
132951,22.1544736,-100.98580909999998,low,American,0.7
132954,22.160380800000002,-100.9880447,medium,Breakfast-Brunch,0.7777777777777778
132955,22.147622,-101.01027490000001,low,Bar_Pub_Brewery,2.1399999999999997
132958,22.1449787,-101.0056829,low,American,1.6833333333333336
134976,18.916654,-99.22711,low,Burgers,1.3250000000000002
134976,18.916654,-99.22711,low,Mediterranean,1.3250000000000002
134976,18.916654,-99.22711,low,Mexican,1.3250000000000002
134983,18.948657,-99.235361,high,Bar,1.1400000000000001
134983,18.948657,-99.235361,high,Bar_Pub_Brewery,1.1400000000000001
134986,18.928798,-99.239513,high,International,2.6999999999999997
134999,18.915421,-99.184871,medium,Japanese,1.7399999999999998
135018,18.859803,-99.222164,medium,Mexican,1.6
135019,18.875010999999997,-99.15942199999999,low,Bar,1.0166666666666668
135021,18.933537,-99.222497,low,Fast_Food,0.7555555555555556
135025,22.14955,-100.97797,medium,Mexican,1.7066666666666666
135026,22.148665,-101.001273,high,Bar,1.3090909090909089
135026,22.148665,-101.001273,high,Bar_Pub_Brewery,1.3090909090909089
135027,22.147145000000002,-100.97449399999999,medium,Mexican,0.42500000000000004
135028,22.146658,-100.987219,medium,Mexican,1.2933333333333332
135030,22.147879999999997,-100.98947199999999,medium,Cafe-Coffee_Shop,1.1749999999999998
135030,22.147879999999997,-100.98947199999999,medium,Cafeteria,1.1749999999999998
135032,22.152480999999998,-100.973486,medium,Cafeteria,0.9178571428571428
135032,22.152480999999998,-100.973486,medium,Contemporary,0.9178571428571428
135034,22.140517000000003,-101.021422,medium,Japanese,2.14
135035,22.145813,-101.01803199999999,high,Italian,1.5
135039,22.145893,-100.97487,low,Seafood,0.8000000000000003
135041,22.15106,-100.977659,medium,Bar,0.8882352941176471
135041,22.15106,-100.977659,medium,Cafeteria,0.8882352941176471
135042,22.159357,-100.973411,medium,Chinese,1.1199999999999999
135043,22.185756,-100.944518,medium,Fast_Food,0.8555555555555556
135043,22.185756,-100.944518,medium,Pizzeria,0.8555555555555556
135044,22.141848,-100.997475,medium,Chinese,0.575
135046,22.141282,-101.00295799999999,medium,Fast_Food,0.8
135048,22.142017000000003,-100.999246,high,Bar,1.2333333333333334
135049,22.135011,-101.0286,medium,Seafood,0.68
135052,22.150980999999998,-100.977412,high,Bar,1.168
135052,22.150980999999998,-100.977412,high,Bar_Pub_Brewery,1.168
135053,22.178931,-101.012861,high,Cafeteria,0.8
135053,22.178931,-101.012861,high,Fast_Food,0.8
135053,22.178931,-101.012861,high,Pizzeria,0.8
135054,22.140626,-100.915657,high,Seafood,0.63
135055,22.148854,-101.008472,high,Mexican,2.314285714285714
135057,22.145992,-100.955118,medium,Bar,1.1
135058,22.165587,-101.001273,medium,Pizzeria,0.461111111111111
135059,22.145108,-100.989547,medium,Bar,0.9777777777777779
135060,22.156882999999997,-100.97848499999999,medium,Seafood,0.9363636363636364
135069,22.140129,-100.944872,low,Bar,0.15833333333333335
135071,22.126375,-100.910926,medium,Bar,0.9000000000000001
135071,22.126375,-100.910926,medium,Bar_Pub_Brewery,0.9000000000000001
135072,22.149192000000003,-101.002936,medium,Japanese,1.0875000000000001
135073,22.147175,-100.97426899999999,high,Bar,0.925
135073,22.147175,-100.97426899999999,high,Bar_Pub_Brewery,0.925
135074,22.149689000000002,-100.999525,high,Contemporary,1.85
135075,22.139573000000002,-100.991564,medium,Seafood,1.6076923076923075
135079,22.156376,-100.998355,high,Chinese,0.8705882352941177
135085,22.150802,-100.98268,medium,Fast_Food,1.2027777777777777
135086,22.141420999999998,-101.01395500000001,medium,Burgers,0.2
135086,22.141420999999998,-101.01395500000001,medium,Fast_Food,0.2
135088,18.876011300000002,-99.2198896,low,Cafeteria,0.6166666666666667
135104,23.752982100000004,-99.16843409999998,medium,Mexican,0.6857142857142858
135106,22.149708800000003,-100.97609279999999,medium,Mexican,1.4100000000000001
135109,18.9217848,-99.2353499,medium,Italian,0.575
