,placeID,latitude,longitude,Service,Count,ave_rating
0,132560,23.752304100000003,-99.1669133,Regional,4,0.175
1,132572,22.141647100000004,-100.9927118,Cafeteria,15,0.7400000000000001
2,132583,18.9222904,-99.234332,American,4,0.8500000000000001
3,132584,23.7523648,-99.1652879,Mexican,6,1.1333333333333335
4,132594,23.7521677,-99.165709,Mexican,5,0.26
5,132608,23.7588052,-99.1651297,Mexican,6,0.8333333333333334
6,132609,23.760268300000003,-99.1658646,Fast_Food,5,0.2
7,132613,23.7529035,-99.165076,Mexican,6,1.0666666666666669
8,132626,23.7375834,-99.1351318,Italian,4,1.0
9,132630,23.7529305,-99.1644725,Mexican,6,0.6
10,132663,23.7525107,-99.1669536,Mexican,6,0.16666666666666666
11,132665,23.7367977,-99.1342413,Mexican,5,0.74
12,132667,23.7526973,-99.1633594,Armenian,4,1.0
13,132668,23.738212,-99.1519547,Mexican,3,1.0
14,132706,23.7292162,-99.1323571,Mexican,4,0.5
15,132715,23.732422600000003,-99.1586602,Mexican,4,0.4
16,132717,23.7318602,-99.1504365,Fast_Food,3,1.3333333333333333
17,132723,22.1489337,-101.019845,Mexican,12,1.2250000000000003
18,132732,23.7543569,-99.171288,Mexican,8,0.4
19,132733,23.7527071,-99.1625655,Pizzeria,10,1.1
20,132740,23.7521965,-99.1666317,Mexican,8,0.4125
21,132754,22.1477379,-100.9906163,Mexican,13,1.4230769230769231
22,132755,22.153324,-101.0195459,Mexican,5,2.02
23,132766,18.9101777,-99.2315438,Japanese,3,0.2333333333333333
24,132767,18.8820871,-99.1630268,Vietnamese,6,1.4666666666666668
25,132768,18.9257734,-99.2326355,Family,10,1.7100000000000002
26,132773,18.8699929,-99.2103195,Family,8,1.05
27,132773,18.8699929,-99.2103195,Mexican,8,1.05
28,132825,22.1473922,-100.983092,Mexican,32,1.009375
29,132834,22.156469,-100.98554,Mexican,25,0.7239999999999999
30,132845,22.1262926,-100.9007764,Mexican,5,0.32
31,132846,22.1422732,-100.9426537,International,5,1.4
32,132851,22.136872,-100.9345736,American,14,0.6571428571428573
33,132851,22.136872,-100.9345736,Game,14,0.6571428571428573
34,132854,22.1378633,-100.9383273,International,6,1.3333333333333333
35,132856,22.1513782,-100.9746337,Italian,14,0.7428571428571429
36,132858,22.1312917,-100.9371941,Burgers,5,0.2
37,132861,22.1480965,-101.0173023,Burgers,7,1.1285714285714286
38,132862,22.1506429,-100.9870148,International,18,1.6
39,132866,22.1412198,-100.9313107,Bakery,10,1.12
40,132866,22.1412198,-100.9313107,Cafeteria,10,1.12
41,132869,22.1412384,-100.9239252,Pizzeria,6,0.95
42,132870,22.1430781,-100.9354788,Burgers,5,0.06
43,132872,22.1735955,-100.9946027,American,12,0.6249999999999999
44,132875,22.1499013,-100.9937793,Japanese,8,1.0750000000000002
45,132885,22.1795169,-100.9584358,Cafeteria,5,0.12
46,132921,22.150305,-100.9891337,Bar,17,0.7
47,132922,22.1511348,-100.9823115,Cafeteria,6,1.8333333333333333
48,132925,22.1534997,-100.976243,Mexican,5,0.8800000000000001
49,132937,22.1500193,-100.9799203,Bar,4,0.475
50,132951,22.1544736,-100.98580909999998,American,10,0.7
51,132954,22.1603808,-100.9880447,Breakfast-Brunch,9,0.7777777777777778
52,132955,22.147622,-101.0102749,Bar_Pub_Brewery,5,2.14
53,132958,22.1449787,-101.0056829,American,6,1.6833333333333336
54,134976,18.916654,-99.22711,Burgers,12,1.3250000000000002
